state,industry,reporting_date,year,month,month_no,turnover_millions,yoy_growth_pct
Australian Capital Territory,Takeaway food services,1/07/2019,2019,July     ,7,31.1,NULL
Australian Capital Territory,Takeaway food services,1/08/2019,2019,August   ,8,32.8,NULL
Australian Capital Territory,Takeaway food services,1/09/2019,2019,September,9,31.5,NULL
Australian Capital Territory,Takeaway food services,1/10/2019,2019,October  ,10,30.4,NULL
Australian Capital Territory,Takeaway food services,1/11/2019,2019,November ,11,31,NULL
Australian Capital Territory,Takeaway food services,1/12/2019,2019,December ,12,31.8,NULL
Australian Capital Territory,Takeaway food services,1/01/2020,2020,January  ,1,28.8,13.83
Australian Capital Territory,Takeaway food services,1/02/2020,2020,February ,2,28.2,14.17
Australian Capital Territory,Takeaway food services,1/03/2020,2020,March    ,3,25.8,-11.03
Australian Capital Territory,Takeaway food services,1/04/2020,2020,April    ,4,25.7,-9.19
Australian Capital Territory,Takeaway food services,1/05/2020,2020,May      ,5,32.3,9.86
Australian Capital Territory,Takeaway food services,1/06/2020,2020,June     ,6,33.1,5.75
Australian Capital Territory,Takeaway food services,1/07/2020,2020,July     ,7,34.9,12.22
Australian Capital Territory,Takeaway food services,1/08/2020,2020,August   ,8,36.8,12.20
Australian Capital Territory,Takeaway food services,1/09/2020,2020,September,9,34.8,10.48
Australian Capital Territory,Takeaway food services,1/10/2020,2020,October  ,10,36.3,19.41
Australian Capital Territory,Takeaway food services,1/11/2020,2020,November ,11,35.9,15.81
Australian Capital Territory,Takeaway food services,1/12/2020,2020,December ,12,37.5,17.92
Australian Capital Territory,Takeaway food services,1/01/2021,2021,January  ,1,34.4,19.44
Australian Capital Territory,Takeaway food services,1/02/2021,2021,February ,2,32.7,15.96
Australian Capital Territory,Takeaway food services,1/03/2021,2021,March    ,3,34.9,35.27
Australian Capital Territory,Takeaway food services,1/04/2021,2021,April    ,4,34.3,33.46
Australian Capital Territory,Takeaway food services,1/05/2021,2021,May      ,5,36,11.46
Australian Capital Territory,Takeaway food services,1/06/2021,2021,June     ,6,35.4,6.95
Australian Capital Territory,Takeaway food services,1/07/2021,2021,July     ,7,35.6,2.01
Australian Capital Territory,Takeaway food services,1/08/2021,2021,August   ,8,25.2,-31.52
Australian Capital Territory,Takeaway food services,1/09/2021,2021,September,9,23.8,-31.61
Australian Capital Territory,Takeaway food services,1/10/2021,2021,October  ,10,30.5,-15.98
Australian Capital Territory,Takeaway food services,1/11/2021,2021,November ,11,34.1,-5.01
Australian Capital Territory,Takeaway food services,1/12/2021,2021,December ,12,37.8,0.80
Australian Capital Territory,Takeaway food services,1/01/2022,2022,January  ,1,34.4,0.00
Australian Capital Territory,Takeaway food services,1/02/2022,2022,February ,2,33.9,3.67
Australian Capital Territory,Takeaway food services,1/03/2022,2022,March    ,3,39,11.75
Australian Capital Territory,Takeaway food services,1/04/2022,2022,April    ,4,39.8,16.03
Australian Capital Territory,Takeaway food services,1/05/2022,2022,May      ,5,38.8,7.78
Australian Capital Territory,Takeaway food services,1/06/2022,2022,June     ,6,38.9,9.89
Australian Capital Territory,Takeaway food services,1/07/2022,2022,July     ,7,39.8,11.80
Australian Capital Territory,Takeaway food services,1/08/2022,2022,August   ,8,38.8,53.97
Australian Capital Territory,Takeaway food services,1/09/2022,2022,September,9,40.8,71.43
Australian Capital Territory,Takeaway food services,1/10/2022,2022,October  ,10,41.1,34.75
Australian Capital Territory,Takeaway food services,1/11/2022,2022,November ,11,40.1,17.60
Australian Capital Territory,Takeaway food services,1/12/2022,2022,December ,12,40.6,7.41
Australian Capital Territory,Takeaway food services,1/01/2023,2023,January  ,1,39.1,13.66
Australian Capital Territory,Takeaway food services,1/02/2023,2023,February ,2,39,15.04
Australian Capital Territory,Takeaway food services,1/03/2023,2023,March    ,3,42.2,8.21
Australian Capital Territory,Takeaway food services,1/04/2023,2023,April    ,4,39.4,-1.01
Australian Capital Territory,Takeaway food services,1/05/2023,2023,May      ,5,42.2,8.76
Australian Capital Territory,Takeaway food services,1/06/2023,2023,June     ,6,41.6,6.94
Australian Capital Territory,Takeaway food services,1/07/2023,2023,July     ,7,45.1,13.32
Australian Capital Territory,Takeaway food services,1/08/2023,2023,August   ,8,47.5,22.42
Australian Capital Territory,Takeaway food services,1/09/2023,2023,September,9,45.8,12.25
Australian Capital Territory,Takeaway food services,1/10/2023,2023,October  ,10,45.5,10.71
Australian Capital Territory,Takeaway food services,1/11/2023,2023,November ,11,45.1,12.47
Australian Capital Territory,Takeaway food services,1/12/2023,2023,December ,12,45.6,12.32
Australian Capital Territory,Takeaway food services,1/01/2024,2024,January  ,1,39.7,1.53
Australian Capital Territory,Takeaway food services,1/02/2024,2024,February ,2,39.6,1.54
Australian Capital Territory,Takeaway food services,1/03/2024,2024,March    ,3,42.1,-0.24
Australian Capital Territory,Takeaway food services,1/04/2024,2024,April    ,4,41.6,5.58
Australian Capital Territory,Takeaway food services,1/05/2024,2024,May      ,5,43,1.90
Australian Capital Territory,Takeaway food services,1/06/2024,2024,June     ,6,41.3,-0.72
Australian Capital Territory,Takeaway food services,1/07/2024,2024,July     ,7,41.8,-7.32
Australian Capital Territory,Takeaway food services,1/08/2024,2024,August   ,8,42.7,-10.11
Australian Capital Territory,Takeaway food services,1/09/2024,2024,September,9,41.7,-8.95
Australian Capital Territory,Takeaway food services,1/10/2024,2024,October  ,10,40.7,-10.55
Australian Capital Territory,Takeaway food services,1/11/2024,2024,November ,11,41.1,-8.87
Australian Capital Territory,Takeaway food services,1/12/2024,2024,December ,12,40.8,-10.53
Australian Capital Territory,Takeaway food services,1/01/2025,2025,January  ,1,34.7,-12.59
Australian Capital Territory,Takeaway food services,1/02/2025,2025,February ,2,35.3,-10.86
Australian Capital Territory,Takeaway food services,1/03/2025,2025,March    ,3,39.2,-6.89
Australian Capital Territory,Takeaway food services,1/04/2025,2025,April    ,4,40,-3.85
Australian Capital Territory,Takeaway food services,1/05/2025,2025,May      ,5,43.6,1.40
Australian Capital Territory,Takeaway food services,1/06/2025,2025,June     ,6,41.4,0.24
New South Wales,"Cafes, restaurants and catering services",1/01/2019,2019,January  ,1,793,NULL
New South Wales,"Cafes, restaurants and catering services",1/02/2019,2019,February ,2,717,NULL
New South Wales,"Cafes, restaurants and catering services",1/03/2019,2019,March    ,3,770.9,NULL
New South Wales,"Cafes, restaurants and catering services",1/04/2019,2019,April    ,4,754.2,NULL
New South Wales,"Cafes, restaurants and catering services",1/05/2019,2019,May      ,5,765.5,NULL
New South Wales,"Cafes, restaurants and catering services",1/06/2019,2019,June     ,6,706.6,NULL
New South Wales,"Cafes, restaurants and catering services",1/07/2019,2019,July     ,7,758.3,NULL
New South Wales,"Cafes, restaurants and catering services",1/08/2019,2019,August   ,8,772.8,NULL
New South Wales,"Cafes, restaurants and catering services",1/09/2019,2019,September,9,800.6,NULL
New South Wales,"Cafes, restaurants and catering services",1/10/2019,2019,October  ,10,829.2,NULL
New South Wales,"Cafes, restaurants and catering services",1/11/2019,2019,November ,11,818.5,NULL
New South Wales,"Cafes, restaurants and catering services",1/12/2019,2019,December ,12,870.5,NULL
New South Wales,"Cafes, restaurants and catering services",1/01/2020,2020,January  ,1,748.6,-5.60
New South Wales,"Cafes, restaurants and catering services",1/02/2020,2020,February ,2,697.3,-2.75
New South Wales,"Cafes, restaurants and catering services",1/03/2020,2020,March    ,3,559.5,-27.42
New South Wales,"Cafes, restaurants and catering services",1/04/2020,2020,April    ,4,243.3,-67.74
New South Wales,"Cafes, restaurants and catering services",1/05/2020,2020,May      ,5,346.7,-54.71
New South Wales,"Cafes, restaurants and catering services",1/06/2020,2020,June     ,6,544.9,-22.88
New South Wales,"Cafes, restaurants and catering services",1/07/2020,2020,July     ,7,656.2,-13.46
New South Wales,"Cafes, restaurants and catering services",1/08/2020,2020,August   ,8,592.1,-23.38
New South Wales,"Cafes, restaurants and catering services",1/09/2020,2020,September,9,642.8,-19.71
New South Wales,"Cafes, restaurants and catering services",1/10/2020,2020,October  ,10,698.4,-15.77
New South Wales,"Cafes, restaurants and catering services",1/11/2020,2020,November ,11,704.5,-13.93
New South Wales,"Cafes, restaurants and catering services",1/12/2020,2020,December ,12,736.8,-15.36
New South Wales,"Cafes, restaurants and catering services",1/01/2021,2021,January  ,1,671.6,-10.29
New South Wales,"Cafes, restaurants and catering services",1/02/2021,2021,February ,2,662.9,-4.93
New South Wales,"Cafes, restaurants and catering services",1/03/2021,2021,March    ,3,729.4,30.37
New South Wales,"Cafes, restaurants and catering services",1/04/2021,2021,April    ,4,719.2,195.60
New South Wales,"Cafes, restaurants and catering services",1/05/2021,2021,May      ,5,748.6,115.92
New South Wales,"Cafes, restaurants and catering services",1/06/2021,2021,June     ,6,653.2,19.88
New South Wales,"Cafes, restaurants and catering services",1/07/2021,2021,July     ,7,439.8,-32.98
New South Wales,"Cafes, restaurants and catering services",1/08/2021,2021,August   ,8,376.1,-36.48
New South Wales,"Cafes, restaurants and catering services",1/09/2021,2021,September,9,458.8,-28.62
New South Wales,"Cafes, restaurants and catering services",1/10/2021,2021,October  ,10,691.8,-0.95
New South Wales,"Cafes, restaurants and catering services",1/11/2021,2021,November ,11,847.4,20.28
New South Wales,"Cafes, restaurants and catering services",1/12/2021,2021,December ,12,872.2,18.38
New South Wales,"Cafes, restaurants and catering services",1/01/2022,2022,January  ,1,732.8,9.11
New South Wales,"Cafes, restaurants and catering services",1/02/2022,2022,February ,2,837.1,26.28
New South Wales,"Cafes, restaurants and catering services",1/03/2022,2022,March    ,3,955.5,31.00
New South Wales,"Cafes, restaurants and catering services",1/04/2022,2022,April    ,4,931.6,29.53
New South Wales,"Cafes, restaurants and catering services",1/05/2022,2022,May      ,5,1008.1,34.66
New South Wales,"Cafes, restaurants and catering services",1/06/2022,2022,June     ,6,980.4,50.09
New South Wales,"Cafes, restaurants and catering services",1/07/2022,2022,July     ,7,1015.8,130.97
New South Wales,"Cafes, restaurants and catering services",1/08/2022,2022,August   ,8,1082.8,187.90
New South Wales,"Cafes, restaurants and catering services",1/09/2022,2022,September,9,1140.2,148.52
New South Wales,"Cafes, restaurants and catering services",1/10/2022,2022,October  ,10,1165.2,68.43
New South Wales,"Cafes, restaurants and catering services",1/11/2022,2022,November ,11,1182.5,39.54
New South Wales,"Cafes, restaurants and catering services",1/12/2022,2022,December ,12,1278.9,46.63
New South Wales,"Cafes, restaurants and catering services",1/01/2023,2023,January  ,1,1127.5,53.86
New South Wales,"Cafes, restaurants and catering services",1/02/2023,2023,February ,2,1043.9,24.70
New South Wales,"Cafes, restaurants and catering services",1/03/2023,2023,March    ,3,1145.3,19.86
New South Wales,"Cafes, restaurants and catering services",1/04/2023,2023,April    ,4,1025.4,10.07
New South Wales,"Cafes, restaurants and catering services",1/05/2023,2023,May      ,5,1147.2,13.80
New South Wales,"Cafes, restaurants and catering services",1/06/2023,2023,June     ,6,1071.1,9.25
New South Wales,"Cafes, restaurants and catering services",1/07/2023,2023,July     ,7,1076.5,5.98
New South Wales,"Cafes, restaurants and catering services",1/08/2023,2023,August   ,8,1110.4,2.55
New South Wales,"Cafes, restaurants and catering services",1/09/2023,2023,September,9,1105,-3.09
New South Wales,"Cafes, restaurants and catering services",1/10/2023,2023,October  ,10,1150.7,-1.24
New South Wales,"Cafes, restaurants and catering services",1/11/2023,2023,November ,11,1136.7,-3.87
New South Wales,"Cafes, restaurants and catering services",1/12/2023,2023,December ,12,1132.3,-11.46
New South Wales,"Cafes, restaurants and catering services",1/01/2024,2024,January  ,1,1006.3,-10.75
New South Wales,"Cafes, restaurants and catering services",1/02/2024,2024,February ,2,1034.9,-0.86
New South Wales,"Cafes, restaurants and catering services",1/03/2024,2024,March    ,3,1052.8,-8.08
New South Wales,"Cafes, restaurants and catering services",1/04/2024,2024,April    ,4,1057.7,3.15
New South Wales,"Cafes, restaurants and catering services",1/05/2024,2024,May      ,5,1115.6,-2.75
New South Wales,"Cafes, restaurants and catering services",1/06/2024,2024,June     ,6,1014.9,-5.25
New South Wales,"Cafes, restaurants and catering services",1/07/2024,2024,July     ,7,1061.4,-1.40
New South Wales,"Cafes, restaurants and catering services",1/08/2024,2024,August   ,8,1088.9,-1.94
New South Wales,"Cafes, restaurants and catering services",1/09/2024,2024,September,9,1112.4,0.67
New South Wales,"Cafes, restaurants and catering services",1/10/2024,2024,October  ,10,1150.5,-0.02
New South Wales,"Cafes, restaurants and catering services",1/11/2024,2024,November ,11,1176.4,3.49
New South Wales,"Cafes, restaurants and catering services",1/12/2024,2024,December ,12,1253.5,10.70
New South Wales,"Cafes, restaurants and catering services",1/01/2025,2025,January  ,1,1080.5,7.37
New South Wales,"Cafes, restaurants and catering services",1/02/2025,2025,February ,2,1002.4,-3.14
New South Wales,"Cafes, restaurants and catering services",1/03/2025,2025,March    ,3,1085,3.06
New South Wales,"Cafes, restaurants and catering services",1/04/2025,2025,April    ,4,1036.5,-2.00
New South Wales,"Cafes, restaurants and catering services",1/05/2025,2025,May      ,5,1101,-1.31
New South Wales,"Cafes, restaurants and catering services",1/06/2025,2025,June     ,6,1056.9,4.14
New South Wales,Clothing retailing,1/01/2019,2019,January  ,1,497.4,NULL
New South Wales,Clothing retailing,1/02/2019,2019,February ,2,395.2,NULL
New South Wales,Clothing retailing,1/03/2019,2019,March    ,3,475.3,NULL
New South Wales,Clothing retailing,1/04/2019,2019,April    ,4,491.6,NULL
New South Wales,Clothing retailing,1/05/2019,2019,May      ,5,548.2,NULL
New South Wales,Clothing retailing,1/06/2019,2019,June     ,6,543.5,NULL
New South Wales,Clothing retailing,1/07/2019,2019,July     ,7,483.7,NULL
New South Wales,Clothing retailing,1/08/2019,2019,August   ,8,479,NULL
New South Wales,Clothing retailing,1/09/2019,2019,September,9,484.4,NULL
New South Wales,Clothing retailing,1/10/2019,2019,October  ,10,521.1,NULL
New South Wales,Clothing retailing,1/11/2019,2019,November ,11,577.5,NULL
New South Wales,Clothing retailing,1/12/2019,2019,December ,12,794.7,NULL
New South Wales,Clothing retailing,1/01/2020,2020,January  ,1,503,1.13
New South Wales,Clothing retailing,1/02/2020,2020,February ,2,399,0.96
New South Wales,Clothing retailing,1/03/2020,2020,March    ,3,364.2,-23.37
New South Wales,Clothing retailing,1/04/2020,2020,April    ,4,192.9,-60.76
New South Wales,Clothing retailing,1/05/2020,2020,May      ,5,475.5,-13.26
New South Wales,Clothing retailing,1/06/2020,2020,June     ,6,588.9,8.35
New South Wales,Clothing retailing,1/07/2020,2020,July     ,7,606.2,25.33
New South Wales,Clothing retailing,1/08/2020,2020,August   ,8,525.1,9.62
New South Wales,Clothing retailing,1/09/2020,2020,September,9,564,16.43
New South Wales,Clothing retailing,1/10/2020,2020,October  ,10,641.8,23.16
New South Wales,Clothing retailing,1/11/2020,2020,November ,11,715.6,23.91
New South Wales,Clothing retailing,1/12/2020,2020,December ,12,931.2,17.18
New South Wales,Clothing retailing,1/01/2021,2021,January  ,1,539.3,7.22
New South Wales,Clothing retailing,1/02/2021,2021,February ,2,504,26.32
New South Wales,Clothing retailing,1/03/2021,2021,March    ,3,613.8,68.53
New South Wales,Clothing retailing,1/04/2021,2021,April    ,4,661.9,243.13
New South Wales,Clothing retailing,1/05/2021,2021,May      ,5,724.8,52.43
New South Wales,Clothing retailing,1/06/2021,2021,June     ,6,647.2,9.90
New South Wales,Clothing retailing,1/07/2021,2021,July     ,7,324.9,-46.40
New South Wales,Clothing retailing,1/08/2021,2021,August   ,8,258.2,-50.83
New South Wales,Clothing retailing,1/09/2021,2021,September,9,292.3,-48.17
New South Wales,Clothing retailing,1/10/2021,2021,October  ,10,599.9,-6.53
New South Wales,Clothing retailing,1/11/2021,2021,November ,11,823.1,15.02
New South Wales,Clothing retailing,1/12/2021,2021,December ,12,1032,10.82
New South Wales,Clothing retailing,1/01/2022,2022,January  ,1,606.6,12.48
New South Wales,Clothing retailing,1/02/2022,2022,February ,2,566,12.30
New South Wales,Clothing retailing,1/03/2022,2022,March    ,3,698.7,13.83
New South Wales,Clothing retailing,1/04/2022,2022,April    ,4,743.2,12.28
New South Wales,Clothing retailing,1/05/2022,2022,May      ,5,773,6.65
New South Wales,Clothing retailing,1/06/2022,2022,June     ,6,788.3,21.80
New South Wales,Clothing retailing,1/07/2022,2022,July     ,7,711.4,118.96
New South Wales,Clothing retailing,1/08/2022,2022,August   ,8,683.6,164.76
New South Wales,Clothing retailing,1/09/2022,2022,September,9,710.4,143.04
New South Wales,Clothing retailing,1/10/2022,2022,October  ,10,743.1,23.87
New South Wales,Clothing retailing,1/11/2022,2022,November ,11,887.8,7.86
New South Wales,Clothing retailing,1/12/2022,2022,December ,12,1120.8,8.60
New South Wales,Clothing retailing,1/01/2023,2023,January  ,1,702.2,15.76
New South Wales,Clothing retailing,1/02/2023,2023,February ,2,603.3,6.59
New South Wales,Clothing retailing,1/03/2023,2023,March    ,3,723.1,3.49
New South Wales,Clothing retailing,1/04/2023,2023,April    ,4,773.5,4.08
New South Wales,Clothing retailing,1/05/2023,2023,May      ,5,836.5,8.21
New South Wales,Clothing retailing,1/06/2023,2023,June     ,6,790.8,0.32
New South Wales,Clothing retailing,1/07/2023,2023,July     ,7,720.6,1.29
New South Wales,Clothing retailing,1/08/2023,2023,August   ,8,710.9,3.99
New South Wales,Clothing retailing,1/09/2023,2023,September,9,771.8,8.64
New South Wales,Clothing retailing,1/10/2023,2023,October  ,10,766.3,3.12
New South Wales,Clothing retailing,1/11/2023,2023,November ,11,906.1,2.06
New South Wales,Clothing retailing,1/12/2023,2023,December ,12,1093.3,-2.45
New South Wales,Clothing retailing,1/01/2024,2024,January  ,1,705.2,0.43
New South Wales,Clothing retailing,1/02/2024,2024,February ,2,673,11.55
New South Wales,Clothing retailing,1/03/2024,2024,March    ,3,716.9,-0.86
New South Wales,Clothing retailing,1/04/2024,2024,April    ,4,774.2,0.09
New South Wales,Clothing retailing,1/05/2024,2024,May      ,5,837.5,0.12
New South Wales,Clothing retailing,1/06/2024,2024,June     ,6,802.4,1.47
New South Wales,Clothing retailing,1/07/2024,2024,July     ,7,733.2,1.75
New South Wales,Clothing retailing,1/08/2024,2024,August   ,8,750.6,5.58
New South Wales,Clothing retailing,1/09/2024,2024,September,9,767.2,-0.60
New South Wales,Clothing retailing,1/10/2024,2024,October  ,10,781,1.92
New South Wales,Clothing retailing,1/11/2024,2024,November ,11,943.6,4.14
New South Wales,Clothing retailing,1/12/2024,2024,December ,12,1118.5,2.30
New South Wales,Clothing retailing,1/01/2025,2025,January  ,1,748.4,6.13
New South Wales,Clothing retailing,1/02/2025,2025,February ,2,661.5,-1.71
New South Wales,Clothing retailing,1/03/2025,2025,March    ,3,780.8,8.91
New South Wales,Clothing retailing,1/04/2025,2025,April    ,4,770.1,-0.53
New South Wales,Clothing retailing,1/05/2025,2025,May      ,5,869.4,3.81
New South Wales,Clothing retailing,1/06/2025,2025,June     ,6,850.5,5.99
New South Wales,Department stores,1/01/2019,2019,January  ,1,465.2,NULL
New South Wales,Department stores,1/02/2019,2019,February ,2,356.2,NULL
New South Wales,Department stores,1/03/2019,2019,March    ,3,444.9,NULL
New South Wales,Department stores,1/04/2019,2019,April    ,4,479.6,NULL
New South Wales,Department stores,1/05/2019,2019,May      ,5,494.8,NULL
New South Wales,Department stores,1/06/2019,2019,June     ,6,526.6,NULL
New South Wales,Department stores,1/07/2019,2019,July     ,7,451.5,NULL
New South Wales,Department stores,1/08/2019,2019,August   ,8,446.2,NULL
New South Wales,Department stores,1/09/2019,2019,September,9,456.7,NULL
New South Wales,Department stores,1/10/2019,2019,October  ,10,511,NULL
New South Wales,Department stores,1/11/2019,2019,November ,11,604.8,NULL
New South Wales,Department stores,1/12/2019,2019,December ,12,920.3,NULL
New South Wales,Department stores,1/01/2020,2020,January  ,1,469.2,0.86
New South Wales,Department stores,1/02/2020,2020,February ,2,376.8,5.78
New South Wales,Department stores,1/03/2020,2020,March    ,3,412,-7.39
New South Wales,Department stores,1/04/2020,2020,April    ,4,390,-18.68
New South Wales,Department stores,1/05/2020,2020,May      ,5,557.6,12.69
New South Wales,Department stores,1/06/2020,2020,June     ,6,520,-1.25
New South Wales,Department stores,1/07/2020,2020,July     ,7,506.9,12.27
New South Wales,Department stores,1/08/2020,2020,August   ,8,449.3,0.69
New South Wales,Department stores,1/09/2020,2020,September,9,505.7,10.73
New South Wales,Department stores,1/10/2020,2020,October  ,10,561.6,9.90
New South Wales,Department stores,1/11/2020,2020,November ,11,688,13.76
New South Wales,Department stores,1/12/2020,2020,December ,12,959.4,4.25
New South Wales,Department stores,1/01/2021,2021,January  ,1,470.6,0.30
New South Wales,Department stores,1/02/2021,2021,February ,2,398.2,5.68
New South Wales,Department stores,1/03/2021,2021,March    ,3,513.6,24.66
New South Wales,Department stores,1/04/2021,2021,April    ,4,516.8,32.51
New South Wales,Department stores,1/05/2021,2021,May      ,5,528.9,-5.15
New South Wales,Department stores,1/06/2021,2021,June     ,6,505.8,-2.73
New South Wales,Department stores,1/07/2021,2021,July     ,7,322.4,-36.40
New South Wales,Department stores,1/08/2021,2021,August   ,8,210.9,-53.06
New South Wales,Department stores,1/09/2021,2021,September,9,248,-50.96
New South Wales,Department stores,1/10/2021,2021,October  ,10,490.7,-12.62
New South Wales,Department stores,1/11/2021,2021,November ,11,644.1,-6.38
New South Wales,Department stores,1/12/2021,2021,December ,12,866.4,-9.69
New South Wales,Department stores,1/01/2022,2022,January  ,1,451.8,-3.99
New South Wales,Department stores,1/02/2022,2022,February ,2,403.7,1.38
New South Wales,Department stores,1/03/2022,2022,March    ,3,521.5,1.54
New South Wales,Department stores,1/04/2022,2022,April    ,4,541.7,4.82
New South Wales,Department stores,1/05/2022,2022,May      ,5,559.3,5.75
New South Wales,Department stores,1/06/2022,2022,June     ,6,577.3,14.14
New South Wales,Department stores,1/07/2022,2022,July     ,7,551.7,71.12
New South Wales,Department stores,1/08/2022,2022,August   ,8,501.9,137.98
New South Wales,Department stores,1/09/2022,2022,September,9,553.2,123.06
New South Wales,Department stores,1/10/2022,2022,October  ,10,573.5,16.87
New South Wales,Department stores,1/11/2022,2022,November ,11,724.5,12.48
New South Wales,Department stores,1/12/2022,2022,December ,12,976.6,12.72
New South Wales,Department stores,1/01/2023,2023,January  ,1,532.2,17.80
New South Wales,Department stores,1/02/2023,2023,February ,2,418.6,3.69
New South Wales,Department stores,1/03/2023,2023,March    ,3,515.1,-1.23
New South Wales,Department stores,1/04/2023,2023,April    ,4,573.1,5.80
New South Wales,Department stores,1/05/2023,2023,May      ,5,582.2,4.09
New South Wales,Department stores,1/06/2023,2023,June     ,6,552.9,-4.23
New South Wales,Department stores,1/07/2023,2023,July     ,7,522.3,-5.33
New South Wales,Department stores,1/08/2023,2023,August   ,8,498,-0.78
New South Wales,Department stores,1/09/2023,2023,September,9,561.5,1.50
New South Wales,Department stores,1/10/2023,2023,October  ,10,563.9,-1.67
New South Wales,Department stores,1/11/2023,2023,November ,11,734.1,1.33
New South Wales,Department stores,1/12/2023,2023,December ,12,1000.3,2.43
New South Wales,Department stores,1/01/2024,2024,January  ,1,516.2,-3.01
New South Wales,Department stores,1/02/2024,2024,February ,2,434.1,3.70
New South Wales,Department stores,1/03/2024,2024,March    ,3,524.9,1.90
New South Wales,Department stores,1/04/2024,2024,April    ,4,532.5,-7.08
New South Wales,Department stores,1/05/2024,2024,May      ,5,570.3,-2.04
New South Wales,Department stores,1/06/2024,2024,June     ,6,576.2,4.21
New South Wales,Department stores,1/07/2024,2024,July     ,7,524.7,0.46
New South Wales,Department stores,1/08/2024,2024,August   ,8,511.1,2.63
New South Wales,Department stores,1/09/2024,2024,September,9,525.8,-6.36
New South Wales,Department stores,1/10/2024,2024,October  ,10,566.1,0.39
New South Wales,Department stores,1/11/2024,2024,November ,11,735.5,0.19
New South Wales,Department stores,1/12/2024,2024,December ,12,999.5,-0.08
New South Wales,Department stores,1/01/2025,2025,January  ,1,523.4,1.39
New South Wales,Department stores,1/02/2025,2025,February ,2,437,0.67
New South Wales,Department stores,1/03/2025,2025,March    ,3,534,1.73
New South Wales,Department stores,1/04/2025,2025,April    ,4,534.4,0.36
New South Wales,Department stores,1/05/2025,2025,May      ,5,582.8,2.19
New South Wales,Department stores,1/06/2025,2025,June     ,6,607,5.35
New South Wales,Electrical and electronic goods retailing,1/01/2019,2019,January  ,1,580.5,NULL
New South Wales,Electrical and electronic goods retailing,1/02/2019,2019,February ,2,501.3,NULL
New South Wales,Electrical and electronic goods retailing,1/03/2019,2019,March    ,3,533.5,NULL
New South Wales,Electrical and electronic goods retailing,1/04/2019,2019,April    ,4,473.4,NULL
New South Wales,Electrical and electronic goods retailing,1/05/2019,2019,May      ,5,522.2,NULL
New South Wales,Electrical and electronic goods retailing,1/06/2019,2019,June     ,6,595.9,NULL
New South Wales,Electrical and electronic goods retailing,1/07/2019,2019,July     ,7,538.5,NULL
New South Wales,Electrical and electronic goods retailing,1/08/2019,2019,August   ,8,528.8,NULL
New South Wales,Electrical and electronic goods retailing,1/09/2019,2019,September,9,536.4,NULL
New South Wales,Electrical and electronic goods retailing,1/10/2019,2019,October  ,10,543.1,NULL
New South Wales,Electrical and electronic goods retailing,1/11/2019,2019,November ,11,624.8,NULL
New South Wales,Electrical and electronic goods retailing,1/12/2019,2019,December ,12,839.9,NULL
New South Wales,Electrical and electronic goods retailing,1/01/2020,2020,January  ,1,563.9,-2.86
New South Wales,Electrical and electronic goods retailing,1/02/2020,2020,February ,2,515,2.73
New South Wales,Electrical and electronic goods retailing,1/03/2020,2020,March    ,3,596.3,11.77
New South Wales,Electrical and electronic goods retailing,1/04/2020,2020,April    ,4,520.3,9.91
New South Wales,Electrical and electronic goods retailing,1/05/2020,2020,May      ,5,675.4,29.34
New South Wales,Electrical and electronic goods retailing,1/06/2020,2020,June     ,6,730.1,22.52
New South Wales,Electrical and electronic goods retailing,1/07/2020,2020,July     ,7,723.7,34.39
New South Wales,Electrical and electronic goods retailing,1/08/2020,2020,August   ,8,700.9,32.55
New South Wales,Electrical and electronic goods retailing,1/09/2020,2020,September,9,647.7,20.75
New South Wales,Electrical and electronic goods retailing,1/10/2020,2020,October  ,10,659.6,21.45
New South Wales,Electrical and electronic goods retailing,1/11/2020,2020,November ,11,822.5,31.64
New South Wales,Electrical and electronic goods retailing,1/12/2020,2020,December ,12,981.1,16.81
New South Wales,Electrical and electronic goods retailing,1/01/2021,2021,January  ,1,670.1,18.83
New South Wales,Electrical and electronic goods retailing,1/02/2021,2021,February ,2,598.1,16.14
New South Wales,Electrical and electronic goods retailing,1/03/2021,2021,March    ,3,636.1,6.67
New South Wales,Electrical and electronic goods retailing,1/04/2021,2021,April    ,4,590.6,13.51
New South Wales,Electrical and electronic goods retailing,1/05/2021,2021,May      ,5,645,-4.50
New South Wales,Electrical and electronic goods retailing,1/06/2021,2021,June     ,6,720.3,-1.34
New South Wales,Electrical and electronic goods retailing,1/07/2021,2021,July     ,7,600.2,-17.07
New South Wales,Electrical and electronic goods retailing,1/08/2021,2021,August   ,8,522.6,-25.44
New South Wales,Electrical and electronic goods retailing,1/09/2021,2021,September,9,578.4,-10.70
New South Wales,Electrical and electronic goods retailing,1/10/2021,2021,October  ,10,690.5,4.68
New South Wales,Electrical and electronic goods retailing,1/11/2021,2021,November ,11,867.2,5.43
New South Wales,Electrical and electronic goods retailing,1/12/2021,2021,December ,12,970.9,-1.04
New South Wales,Electrical and electronic goods retailing,1/01/2022,2022,January  ,1,664.8,-0.79
New South Wales,Electrical and electronic goods retailing,1/02/2022,2022,February ,2,621.3,3.88
New South Wales,Electrical and electronic goods retailing,1/03/2022,2022,March    ,3,705.6,10.93
New South Wales,Electrical and electronic goods retailing,1/04/2022,2022,April    ,4,639.2,8.23
New South Wales,Electrical and electronic goods retailing,1/05/2022,2022,May      ,5,681.5,5.66
